"SKU";"stock"
"2401770330683";"557"
"2401770330690";"640"
"2401770330928";"459"
"2401770330959";"636"
"2401770331215";"584"
"2401770331222";"852"
"2401770331444";"400"
"2401770331482";"851"
"4054703000146";"20"
"4054703000184";"20"
"4054703000191";"20"
"4054703000221";"20"
"4054703000528";"0"
"4054703000542";"20"
"4054703000559";"20"
"4054703000566";"20"
"4054703000580";"20"
"4054703000597";"20"
"4054703000627";"0"
"4054703000634";"20"
"4054703000726";"20"
"4054703000733";"20"
"4054703000740";"20"
"4054703000757";"20"
"4054703000801";"20"
"4054703000818";"20"
"4054703000863";"20"
"4054703000870";"20"
"4054703000894";"0"
"4054703000900";"20"
"4054703000917";"20"
"4054703000931";"20"
"4054703000993";"0"
"4054703001013";"20"
"4054703001037";"15"
"4054703001051";"20"
"4054703001068";"20"
"4054703001075";"20"
"4054703001082";"20"
"4054703001099";"20"
"4054703001136";"20"
"4054703001150";"0"
"4054703001228";"20"
"4054703001235";"20"
"4054703002720";"20"
"4054703002737";"20"
"4054703002751";"20"
"4054703002768";"14"
"4054703002775";"20"
"4054703002799";"20"
"4054703002874";"8"
"4054703002898";"20"
"4054703002911";"13"
"4054703002935";"20"
"4054703002959";"20"
"4054703002973";"15"
"4054703003055";"20"
"4054703004090";"20"
"4054703004267";"20"
"4054703004298";"14"
"4054703004311";"20"
"4054703004335";"20"
"4054703004359";"20"
"4054703004373";"20"
"4054703004502";"16"
"4054703004519";"4"
"4054703004526";"0"
"4054703004557";"20"
"4054703004571";"20"
"4054703004588";"20"
"4054703004595";"20"
"4054703004601";"20"
"4054703004618";"20"
"4054703004625";"20"
"4054703004649";"20"
"4054703004724";"20"
"4054703004731";"20"
"4054703004748";"10"
"4054703004755";"4"
"4054703004762";"20"
"4054703004779";"20"
"4054703004786";"0"
"4054703004793";"0"
"4054703004854";"20"
"4054703004892";"20"
"4054703004908";"20"
"4054703004915";"20"
"4054703004922";"0"
"4054703004946";"20"
"4054703004953";"7"
"4054703004960";"13"
"4054703004977";"14"
"4054703005028";"20"
"4054703005035";"20"
"4054703005042";"20"
"4054703005059";"0"
"4054703005073";"0"
"4054703005080";"0"
"4054703005097";"0"
"4054703005127";"20"
"4054703005134";"20"
"4054703005165";"20"
"4054703005172";"20"
"4054703005189";"20"
"4054703005196";"20"
"4054703005202";"20"
"4054703005233";"20"
"4054703005240";"20"
"4054703005271";"20"
"4054703005288";"20"
"4054703005318";"20"
"4054703032277";"16"
"4054703062410";"0"
"4054703065305";"20"
"4054703065336";"0"
"4054703066333";"3"
"4054703106206";"10"
"4054703106213";"19"
"4054703106275";"20"
"4054703107005";"10"
"4054703107012";"17"
"4054703107104";"0"
"4054703107111";"20"
"4054703107173";"18"
"4054703110562";"20"
"4054703112313";"20"
"4054703112498";"20"
"4054703120561";"10"
"4054703125313";"13"
"4054703125412";"9"
"4054703125610";"20"
"4054703149326";"0"
"4054703149418";"20"
"4054703149425";"17"
"4054703149432";"0"
"4054703152036";"20"
"4054703152043";"20"
"4054703152067";"20"
"4054703152227";"15"
"4054703152425";"20"
"4054703152432";"20"
"4054703164015";"20"
"4054703164411";"16"
"4054703165333";"15"
"4054703166217";"20"
"4054703166224";"0"
"4054703177114";"0"
"4054703177213";"0"
"4054703183160";"20"
"4054703183184";"8"
"4054703183498";"0"
"4054703183870";"18"
"4054703183887";"20"
"4054703184051";"20"
"4054703184181";"20"
"4054703184464";"20"
"4054703184655";"20"
"4054703187465";"12"
"4054703187496";"9"
"4054703188424";"5"
"4054703188431";"10"
"4054703188998";"16"
"4054703189506";"20"
"4054703201611";"20"
"4054703201628";"2"
"4054703218114";"20"
"4054703218336";"20"
"4054703218718";"20"
"4054703218817";"20"
"4054703220537";"20"
"4054703220544";"20"
"4054703220568";"0"
"4054703226058";"6"
"4054703226423";"17"
"4054703226430";"20"
"4054703227185";"20"
"4054703228335";"0"
"4054703228496";"0"
"4054703234107";"0"
"4054703234152";"0"
"4054703234169";"0"
"4054703235319";"20"
"4054703235418";"0"
"4054703235616";"20"
"4054703236347";"20"
"4054703236354";"20"
"4054703236446";"12"
"4054703236453";"20"
"4054703237313";"0"
"4054703237320";"11"
"4054703237337";"20"
"4054703237412";"16"
"4054703237429";"20"
"4054703237436";"20"
"4054703241211";"20"
"4054703241228";"20"
"4054703241532";"20"
"4054703241631";"20"
"4054703242065";"20"
"4054703246308";"0"
"4054703246315";"20"
"4054703246322";"1"
"4054703246377";"20"
"4054703246414";"0"
"4054703246421";"20"
"4054703246476";"20"
"4054703246612";"20"
"4054703246674";"20"
"4054703247343";"11"
"4054703247350";"20"
"4054703247442";"20"
"4054703247459";"20"
"4054703247640";"19"
"4054703247657";"20"
"4054703260328";"0"
"4054703260335";"20"
"4054703260625";"20"
"4054703260762";"20"
"4054703263336";"0"
"4054703266214";"16"
"4054703277012";"4"
"4054703277111";"6"
"4054703277210";"5"
"4054703285307";"17"
"4054703300017";"19"
"4054703300024";"20"
"4054703300048";"20"
"4054703301199";"1"
"4054703301939";"0"
"4054703310689";"0"
"4054703330502";"18"
"4054703330526";"12"
"4054703330793";"8"
"4054703330892";"2"
"4054703346015";"0"
"4054703350791";"20"
"4054703350890";"20"
"4054703366211";"0"
"4054703366235";"0"
"4054703401363";"0"
"4054703401813";"0"
"4054703426212";"13"
"4054703451689";"20"
"4054703451740";"0"
"4054703452686";"20"
"4054703452761";"0"
"4054703460063";"20"
"4054703460162";"20"
"4054703460360";"20"
"4054703461367";"0"
"4054703477115";"10"
"4054703477214";"0"
"4054703488616";"20"
"4054703488654";"17"
"4054703489651";"20"
"4054703489712";"0"
"4054703492019";"20"
"4054703492064";"20"
"4054703492811";"20"
"4054703501568";"0"
"4054703501681";"20"
"4054703502305";"16"
"4054703502329";"6"
"4054703507027";"0"
"4054703507300";"20"
"4054703507324";"8"
"4054703508628";"8"
"4054703509625";"9"
"4054703510683";"20"
"4054703511680";"20"
"4054703512687";"15"
"4054703514124";"18"
"4054703514131";"20"
"4054703520927";"17"
"4054703520934";"11"
"4054703523027";"20"
"4054703523034";"20"
"4054703523621";"19"
"4054703526202";"19"
"4054703529043";"20"
"4054703529067";"17"
"4054703533019";"20"
"4054703533026";"20"
"4054703562811";"0"
"4054703563368";"20"
"4054703564907";"20"
"4054703590760";"13"
"4054703591019";"0"
"4054703591057";"20"
"4054703591811";"19"
"4054703592610";"20"
"4054703592627";"20"
"4054703592634";"20"
"4054703592641";"17"
"4054703592665";"0"
"4054703592672";"20"
"4054703593013";"0"
"4054703593815";"0"
"4054703600810";"20"
"4054703607628";"0"
"4054703620542";"20"
"4054703620559";"20"
"4054703625219";"10"
"4054703629217";"10"
"4054703630688";"20"
"4054703633009";"19"
"4054703633016";"20"
"4054703633900";"13"
"4054703640687";"0"
"4054703642001";"20"
"4054703642018";"20"
"4054703642056";"20"
"4054703642063";"20"
"4054703677119";"20"
"4054703677218";"9"
"4054703726206";"20"
"4054703734737";"20"
"4054703736731";"20"
"4054703744569";"20"
"4054703744682";"20"
"4054703746563";"20"
"4054703746686";"20"
"4054703802146";"20"
"4054703802160";"20"
"4054703803310";"15"
"4054703803334";"2"
"4054703803341";"20"
"4054703803358";"20"
"4054703806243";"20"
"4054703806250";"4"
"4054703806267";"0"
"4054703807042";"20"
"4054703807059";"20"
"4054703807066";"0"
"4054703807264";"0"
"4054703825305";"19"
"4054703842036";"20"
"4054703853346";"13"
"4054703853353";"20"
"4054703903300";"0"
"4054703906202";"0"
"4054703907001";"0"
"4054703925012";"20"
"4054703925029";"20"
"4054703925036";"20"
"4054703925173";"20"
"4054703925944";"0"
"4054703930764";"0"
"4054703950038";"11"
"4054703961911";"10"
"4054703968323";"2"
"4054703968330";"20"
"4054703991918";"0"
"4054703991925";"18"
"5715239010946";"20"
"5715239011066";"20"
"5715239011127";"0"
"5715239011134";"20"
"5715239011141";"20"
"5715239011158";"20"
"5715239011165";"20"
"5715239011189";"19"
"5715239011196";"20"
"5715239011233";"20"
"5715239011240";"20"
"5715239011271";"1"
